query,title,type,rating_place,reviews,address,open_state,place_id,lat_place,lng_place,category_place,place_title,lat_review,lng_review,rating_review,date,review_title,review_text,user_name,local_guide,likes,images,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,final_label,sent_neg,sent_neu,sent_pos,sent_compound,sent_label
shop,Bloomsbury Local Store,Convenience Store,4.5,34,"14 Bloomsbury St, London, WC1B 3QA",Open 24 hours,ChIJo9c89jIbdkgR7noFwLe9O74,51.5175231,-0.1272147,shop,Bloomsbury Local Store,51.5175231,-0.1272147,5.0,2 years ago,,"Loved talking to the proprietor here, He also handles the museum superstore. He is from Afghanistan and is really fun to talk to.",Aditya,True,1.0,['https://lh3.googleusercontent.com/geougc-cs/ABOP9ptZ2LZ_7XmpEekqJxzXFii5XCjIxrzPUz51h8ZWi1NmoIqOUU7DIhKiV6Fs10iN4jDg7p1OvwaYwnZhYU5PaDGwkvUWzH7rttEcBCji8RNGU1ebMMuC-tjBDW9oYC4tjhrDd9Y1'],,,,,Resident,0.0,0.737,0.263,0.8173,positive
shop,Bloomsbury Local Store,Convenience Store,4.5,34,"14 Bloomsbury St, London, WC1B 3QA",Open 24 hours,ChIJo9c89jIbdkgR7noFwLe9O74,51.5175231,-0.1272147,shop,Bloomsbury Local Store,51.5175231,-0.1272147,5.0,2 years ago,,"We came in to buy some postcards and I asked for a cable for my phone. I was having trouble with it, I tried the cable he was using and it worked fine, so I went to buy one but this one didn't work. The guy behind the desk was extremely kind and let me have his cables instead. Really good service :)",Pablo Arellano Benito,True,1.0,,,,,,Resident,0.025,0.774,0.202,0.9357,positive
shop,Bloomsbury Local Store,Convenience Store,4.5,34,"14 Bloomsbury St, London, WC1B 3QA",Open 24 hours,ChIJo9c89jIbdkgR7noFwLe9O74,51.5175231,-0.1272147,shop,Bloomsbury Local Store,51.5175231,-0.1272147,5.0,a year ago,,Great service. Tried the bag drop there through Bounce. Seamless process and secure. Trustworthy staff as well. Helped me with charging my phone as well.,Athul P Kurian,True,0.0,,,,,,Resident,0.059,0.537,0.404,0.9042,positive
shop,Bloomsbury Local Store,Convenience Store,4.5,34,"14 Bloomsbury St, London, WC1B 3QA",Open 24 hours,ChIJo9c89jIbdkgR7noFwLe9O74,51.5175231,-0.1272147,shop,Bloomsbury Local Store,51.5175231,-0.1272147,5.0,2 years ago,,"I was highly satisfied with my visit to this local convenience store. The combination of a well-maintained and organised store, friendly and helpful staff, a broad product selection, and reasonable prices make it a top choice for all my convenience store needs. I would not hesitate to recommend this store to anyone in the area, and I'll certainly be returning for my future shopping needs.",Faizal D.,True,0.0,,,,,,Resident,0.028,0.771,0.201,0.9,positive
shop,Bloomsbury Local Store,Convenience Store,4.5,34,"14 Bloomsbury St, London, WC1B 3QA",Open 24 hours,ChIJo9c89jIbdkgR7noFwLe9O74,51.5175231,-0.1272147,shop,Bloomsbury Local Store,51.5175231,-0.1272147,5.0,6 months ago,,"very nice people
good prices",nick name,True,0.0,,,,,,Resident,0.0,0.324,0.676,0.7397,positive
shop,Bloomsbury Local Store,Convenience Store,4.5,34,"14 Bloomsbury St, London, WC1B 3QA",Open 24 hours,ChIJo9c89jIbdkgR7noFwLe9O74,51.5175231,-0.1272147,shop,Bloomsbury Local Store,51.5175231,-0.1272147,5.0,3 years ago,,"Stored our bags here with Luggage Hero and this was convenient and well run. They put a security tag on the bags so that they are safely ""locked"". Very convenient close to the British Museum.",Andreas Dilger,True,1.0,,,,,,Resident,0.0,0.733,0.267,0.8834,positive
shop,Bloomsbury Local Store,Convenience Store,4.5,34,"14 Bloomsbury St, London, WC1B 3QA",Open 24 hours,ChIJo9c89jIbdkgR7noFwLe9O74,51.5175231,-0.1272147,shop,Bloomsbury Local Store,51.5175231,-0.1272147,5.0,a year ago,,Best shop so much variety and very convenient and nice people woooow,mohit yadav,True,0.0,,,,,,Resident,0.0,0.579,0.421,0.8055,positive
shop,Field Store,Convenience Store,3.5,42,"138 Chesterton Rd, London, W10 6EP",Open · Closes 11 pm,ChIJCRneRSEQdkgRPRxHFRzuh1w,51.5190953,-0.2166976,shop,Field Store,51.5190953,-0.2166976,1.0,6 years ago,,The most unhappiest most depressing shop owner. I tried to say hello and be polite and he looked at me like I stabbed him in his foot or something. We had a lovely day out and on our way home we stopped here and this shop keepers attitude really put a dampener on the rest of my day. I vowed never to go in there after a few times of seeing what he’s like but this time had no choice we had too. NEVER EVER AGAIN! If he smiled even a little bit he would have many customers.,Ria “Starry Sky” Dhillon,True,3.0,,,,,,Resident,0.099,0.805,0.096,0.311,positive
shop,Field Store,Convenience Store,3.5,42,"138 Chesterton Rd, London, W10 6EP",Open · Closes 11 pm,ChIJCRneRSEQdkgRPRxHFRzuh1w,51.5190953,-0.2166976,shop,Field Store,51.5190953,-0.2166976,1.0,7 years ago,,I asked my husband to buy me some crackers and orange juice on the way home so he stopped by the field store.  The Ritz crackers he got me smelled like bug spray and moth balls.   On top of that the store doesn’t even have any fresh juices or anything close.  I’ve also been to this place to drop off collect plus parcels and they don’t take any package that is in a box or that is slightly larger than 30x30x30.  The angry thing is I had called collect plus before and they advised me that the store should take my parcel and that it was within the dimensions.  I had the collect plus representative call them and the store owner just lied about the whole incident.   Don’t come here unless you want to eat eat poison products and be greeted by an angry store owner!,Linda Lai,True,3.0,,,,,,Resident,0.106,0.832,0.062,-0.8508,negative
shop,Simply Fresh,Convenience Store,4.7,237,"295 Euston Rd., London, NW1 3AD",Open 24 hours,ChIJG8x2ENkadkgRoK0731mXUgs,51.5247295,-0.138851199999999,shop,Simply Fresh,51.5247295,-0.138851199999999,5.0,9 months ago,,"Simply Fresh on Euston Road is a great little corner shop. It’s always clean, well-organized, and has a good range of products — from fresh food and snacks to drinks and daily essentials. The staff are polite and helpful, and checkout is quick even during busy times. Perfect for grabbing something on the go. Highly recommend if you’re nearby!

⸻

Let me know if you want a more detailed version or one with specific feedback (e.g. product variety, halal/vegan options, staff friendliness, etc.).",Md Samrat Khan,True,0.0,['https://lh3.googleusercontent.com/geougc-cs/ABOP9pvLwl1r2vryowPpSxTHIbN_ENCIs7TlXCTEgjw3Ra0dReqs-KKa7IrUGvUYaiovyzCzaUy-BUlLXDMwC2HAkNzXSu-nFcpEdXbkn-m5SHt8o9vop6JsQhmd9i0WVUh1CdOxiUo'],,,,,Resident,0.0,0.721,0.279,0.9781,positive
shop,Lords City Store,Convenience Store,4.0,21,"12 Vauxhall Bridge Rd, London, SW1V 2SD",Closes soon · 9 pm · Opens 7 am Mon,ChIJzZlSorQFdkgRAbXEq4receU,51.4897118,-0.131328299999999,shop,Lords City Store,51.4897118,-0.131328299999999,1.0,a year ago,,"Wow. Ok, I don’t know where to start.

DO NOT SUPPORT THIS BUSINESS BY ALL COST.

The customer service is frankly terrible. I accompanied my Chinese friend into the store and was met by an attitude from one of the shopkeeper, who is of ethnic background. My friend was trying to retrieve an Inpost parcel that has been sat at their shop for 10 days, relentlessly going in trying to receive it and instead met with neglect and racism from the situation multiple times. This man mocked her intelligence to me saying “your friend doesn’t understand” and “she’s lying, the parcel is not here”. This standard of service is unbelievable and extremely xenophobic!!

I recommend to not support this off licence.",Sara Paowana,True,0.0,,,,,,Resident,0.14,0.715,0.145,0.1752,positive
shop,Lords City Store,Convenience Store,4.0,21,"12 Vauxhall Bridge Rd, London, SW1V 2SD",Closes soon · 9 pm · Opens 7 am Mon,ChIJzZlSorQFdkgRAbXEq4receU,51.4897118,-0.131328299999999,shop,Lords City Store,51.4897118,-0.131328299999999,5.0,a year ago,,I have used a number of times and this is a great store for local convenience. I need to contact them but there is no phone number which is a little annoying.,Sachin Patel,True,1.0,,,,,,Resident,0.191,0.712,0.098,-0.5489,negative
