query,title,type,rating_place,reviews,address,open_state,place_id,lat_place,lng_place,category_place,place_title,lat_review,lng_review,rating_review,date,review_title,review_text,user_name,local_guide,likes,images,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,final_label,sent_neg,sent_neu,sent_pos,sent_compound,sent_label
shop,Whistlestop London Waterloo,Convenience Store,3.9,122.0,"Waterloo Rd, London, SE1 8SF",Open · Closes 11:30 pm,ChIJEf7nJ7oEdkgRkpj9VFdo8KE,51.5025212,-0.111430099999999,shop,Whistlestop London Waterloo,51.5025212,-0.111430099999999,1.0,4 years ago,,"Hey, I was reporting a stolen card and wanted to an email address to contact in order to help the bank fund me my money back after someone stole my card. The manager told me he could not send me an email to help confirm the issue but instead lied to me and told me this card (that led me to this website) would have the email I would need to contact them about a serious issue. I am disgusted and disappointed on how I’ve been treated in a bad situation. He could’ve just said sorry there is nothing we can do, but instead he lies and gives me this card to be cheeky and give them a good rating. I am very disappointed and would have liked to have been taken a bit more serious in this situation and to NOT be lied to saying this card has the email I need to speak to after being a victim of fraud.",Jorge Paragas,True,0.0,,,,,,Tourist,0.196,0.733,0.071,-0.9771,negative
shop,Whistlestop London Waterloo,Convenience Store,3.9,122.0,"Waterloo Rd, London, SE1 8SF",Open · Closes 11:30 pm,ChIJEf7nJ7oEdkgRkpj9VFdo8KE,51.5025212,-0.111430099999999,shop,Whistlestop London Waterloo,51.5025212,-0.111430099999999,1.0,3 years ago,,"I was berated by a member of staff for resting a product I wanted on another shelf while getting something out of my pocket. They could see I had 1 arm and walked with a stick, another customer tried to explain the situation,  but I just walked out. They did not deserve my money!",Damaine Hinds,True,0.0,,,,,,Tourist,0.0,1.0,0.0,0.0,neutral
shop,Whistlestop London Waterloo,Convenience Store,3.9,122.0,"Waterloo Rd, London, SE1 8SF",Open · Closes 11:30 pm,ChIJEf7nJ7oEdkgRkpj9VFdo8KE,51.5025212,-0.111430099999999,shop,Whistlestop London Waterloo,51.5025212,-0.111430099999999,1.0,7 years ago,,Shop keeper saw I was in a rush and told me my 8 cans of lager was £24.00. He didn’t even ring it through. They are either lying or charging way too much. Either way I suggest you do not go to this shop.,Gareth Hares,True,3.0,,,,,,Tourist,0.073,0.927,0.0,-0.5267,negative
shop,Whistlestop London Waterloo,Convenience Store,3.9,122.0,"Waterloo Rd, London, SE1 8SF",Open · Closes 11:30 pm,ChIJEf7nJ7oEdkgRkpj9VFdo8KE,51.5025212,-0.111430099999999,shop,Whistlestop London Waterloo,51.5025212,-0.111430099999999,5.0,2 years ago,,It always brightens my day when Kumari K is working; Always in for a chat and always friendly to others. A good energy to have around!,Fanny Van Den Elzen,True,0.0,,,,,,Tourist,0.0,0.667,0.333,0.8748,positive
shop,Whistlestop London Waterloo,Convenience Store,3.9,122.0,"Waterloo Rd, London, SE1 8SF",Open · Closes 11:30 pm,ChIJEf7nJ7oEdkgRkpj9VFdo8KE,51.5025212,-0.111430099999999,shop,Whistlestop London Waterloo,51.5025212,-0.111430099999999,5.0,3 years ago,,"I’ve been to this shop several times on my way to Southampton from Waterloo- Kumary who usually serves me is always really polite and always wishes me a good day, shelves are always nicely stocked, perfect if you want to grab some food & drink quickly",Timmy Laidback Ibiza,True,0.0,,,,,,Tourist,0.0,0.768,0.232,0.886,positive
shop,Field Store,Convenience Store,3.5,42.0,"138 Chesterton Rd, London, W10 6EP",Open · Closes 11 pm,ChIJCRneRSEQdkgRPRxHFRzuh1w,51.5190953,-0.2166976,shop,Field Store,51.5190953,-0.2166976,1.0,a year ago,,"Do not take your parcels here or have them delivered here. The shop keeps all parcels in a pile next to the door, which means they get stolen. Shop owner was very unhelpful and has done nothing to help me retrieve my parcel, for which they should accept liability for.",E J,True,1.0,,,,,,Tourist,0.13,0.824,0.047,-0.5659,negative
shop,Field Store,Convenience Store,3.5,42.0,"138 Chesterton Rd, London, W10 6EP",Open · Closes 11 pm,ChIJCRneRSEQdkgRPRxHFRzuh1w,51.5190953,-0.2166976,shop,Field Store,51.5190953,-0.2166976,5.0,2 years ago,,"Fantastic customer service, they go above and beyond. Staff are friendly, cheerful and extremely helpful. I have used this shop for over 10 years now and highly recommend this store.",Nicky Beale,True,0.0,,,,,,Tourist,0.0,0.607,0.393,0.945,positive
shop,Field Store,Convenience Store,3.5,42.0,"138 Chesterton Rd, London, W10 6EP",Open · Closes 11 pm,ChIJCRneRSEQdkgRPRxHFRzuh1w,51.5190953,-0.2166976,shop,Field Store,51.5190953,-0.2166976,5.0,a year ago,,"Nice atmosphere,  friendly staff. A parcel drop-off service is quick and easy.",Kate Z,True,0.0,,,,,,Tourist,0.0,0.503,0.497,0.836,positive
shop,Field Store,Convenience Store,3.5,42.0,"138 Chesterton Rd, London, W10 6EP",Open · Closes 11 pm,ChIJCRneRSEQdkgRPRxHFRzuh1w,51.5190953,-0.2166976,shop,Field Store,51.5190953,-0.2166976,1.0,4 years ago,,"This newsagent doesn't seem to like giving you your parcel...beware if you dont have a QR scan on your phone!!! Mine was on the parcel...my id, tracking...everything he needed, he had. I can't get it off him!!! He will not give me mu parcel",Amye Clarke,True,2.0,,,,,,Tourist,0.044,0.881,0.075,0.3523,positive
shop,Field Store,Convenience Store,3.5,42.0,"138 Chesterton Rd, London, W10 6EP",Open · Closes 11 pm,ChIJCRneRSEQdkgRPRxHFRzuh1w,51.5190953,-0.2166976,shop,Field Store,51.5190953,-0.2166976,4.0,5 years ago,,"The few times I visited.I was impress the quality of there 'Fish and Chips.They also provide Kabs,Fishcakes,Soft drinks and many other choices.The owner and staff are polite and welcome.",Patrick Hennessy,True,0.0,,,,,,Tourist,0.0,0.821,0.179,0.7096,positive
