owner,total_photos,city_photos,city_ratio,day_span,classification
21611052@N02,8,8,1.0,4927,RESIDENT
22083482@N03,85,85,1.0,2493,RESIDENT
22421801@N00,1,1,1.0,0,TOURIST
22465386@N05,160,160,1.0,368,RESIDENT
23366204@N05,2,2,1.0,0,TOURIST
23511776@N08,49,49,1.0,0,TOURIST
24044636@N00,6,6,1.0,328,RESIDENT
24101413@N03,2,2,1.0,0,TOURIST
24232779@N00,6,6,1.0,0,TOURIST
24406544@N00,2,2,1.0,0,TOURIST
24929622@N04,1,1,1.0,0,TOURIST
25937668@N08,2,2,1.0,2016,RESIDENT
25998506@N05,1,1,1.0,0,TOURIST
26009408@N00,10,10,1.0,545,RESIDENT
26373083@N03,8,8,1.0,187,RESIDENT
26399791@N07,2,2,1.0,0,TOURIST
26967987@N00,1,1,1.0,0,TOURIST
27045884@N05,1,1,1.0,0,TOURIST
27260919@N07,1,1,1.0,0,TOURIST
27297004@N08,2,2,1.0,0,TOURIST
27300180@N07,4,4,1.0,0,TOURIST
27391308@N06,14,14,1.0,1065,RESIDENT
27449997@N06,1,1,1.0,0,TOURIST
27814657@N06,5,5,1.0,2619,RESIDENT
27877160@N00,2,2,1.0,0,TOURIST
27882652@N02,1,1,1.0,0,TOURIST
27917561@N00,5,5,1.0,0,TOURIST
28121598@N03,17,17,1.0,2519,RESIDENT
28178879@N06,36,36,1.0,31,TOURIST
28221823@N05,11,11,1.0,2262,RESIDENT
28312366@N08,52,52,1.0,0,TOURIST
28399342@N08,136,136,1.0,1200,RESIDENT
28539123@N04,1,1,1.0,0,TOURIST
28845654@N08,8,8,1.0,881,RESIDENT
28863643@N06,4,4,1.0,0,TOURIST
28956912@N07,1,1,1.0,0,TOURIST
29057345@N04,6,6,1.0,3321,RESIDENT
29282796@N07,1,1,1.0,0,TOURIST
29478850@N06,1,1,1.0,0,TOURIST
29574002@N00,11,11,1.0,6,TOURIST
29675285@N02,14,14,1.0,958,RESIDENT
30273903@N05,2,2,1.0,0,TOURIST
30334731@N00,1,1,1.0,0,TOURIST
