NUMPOINTS,X,Y
990,-16181.76177,7229711.949262569
19,-15829.93177,7229775.099262568
38,-15831.43177,7229776.299262568
16,-16306.68177,7229769.679262568
27,-16305.81177,7229769.179262568
394,-15920.42177,7229697.019262568
249,-16199.35177,7229708.879262568
100,-16260.27177,7229507.819262568
888,-15911.05177,7229701.839262568
445,-16201.58177,7229708.059262568
28,-16664.48177,7229665.069262568
25,-16665.56177,7229665.659262569
21,-15911.05177,7229695.769262568
928,-16170.36177,7229805.939262568
229,-16666.01177,7229666.409262569
45,-16306.23177,7229769.099262568
23,-16304.90177,7229766.549262568
28,-16305.73177,7229767.409262569
27,-16306.70177,7229768.569262568
1186,-15909.01177,7229696.839262568
84,-16210.87177,7229710.879262568
136,-16630.52177,7229587.109262568
21,-16305.23177,7229767.069262568
9,-15905.68177,7229698.179262568
9,-15908.01177,7229696.519262568
40,-16208.84177,7229712.909262569
33,-16205.37177,7229710.129262568
878,-16504.73177,7229526.179262568
30,-16205.40177,7229708.569262568
13,-16305.87177,7229769.239262569
32,-16205.34177,7229709.099262568
193,-16346.57177,7229617.019262568
44,-15910.19177,7229695.699262569
22,-15902.36177,7229716.469262568
45,-16204.81177,7229708.599262568
43,-16205.51177,7229708.709262568
36,-16205.59177,7229709.739262569
28,-16205.34177,7229708.569262568
31,-16205.37177,7229708.569262568
26,-16205.82177,7229709.709262568
31,-16205.59177,7229707.409262569
30,-16205.20177,7229709.909262569
50,-15911.95177,7229695.549262568
549,-15911.17177,7229695.859262568
403,-15910.10177,7229695.189262568
799,-15689.34177,7229916.349262568
40,-16205.48177,7229707.269262568
20,-16196.20177,7229531.549262568
22,-16186.70177,7229527.549262568
220,-16306.98177,7229769.319262568
31,-16196.37177,7229535.269262568
40,-16199.73177,7229707.519262568
149,-16630.84177,7229586.709262568
130,-16636.96177,7229583.059262568
24,-16196.62177,7229535.159262569
397,-16198.06177,7229531.569262568
40,-16795.31177,7229674.549262568
66,-15906.65177,7229697.369262569
91,-15905.15177,7229695.229262568
264,-16202.16177,7229708.639262568
197,-16091.73177,7229737.489262569
96,-15920.27177,7229690.929262568
1350,-15907.29177,7229694.969262568
223,-16084.43177,7229678.739262569
1159,-16439.59177,7229823.959262568
68,-16199.54177,7229710.929262568
56,-16189.34177,7229711.049262568
56529,-15901.63177,7229696.209262568
98,-16666.14177,7229579.429262568
616,-16338.16177,7229617.029262569
126,-16634.71177,7229588.779262569
10,-16183.68177,7229519.599262568
1640,-16207.51177,7229709.989262569
1627,-16207.45177,7229710.239262569
